price,sqft,bedroom,bathroom,balcony,apartment,age,ownership,maintenance,flooring,furnishing,facing,floor,parking,gated_security,amenities,locality
₹ 2.95 Crores,"1,890",3 Bedroom,4 Bathroom,4.0,Alchemy Urban Fores...,3-5 years,Self Owned,3-5 years,Wooden,Semi,West,7/19,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Park', 'Sewage treatment plant', 'Visitor parking']",Channasandra
₹ 60 Lacs,"1,200",2 Bedroom,2 Bathroom,2.0,Slv Ratnagiri Encla...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Fully furnished,North-East,3/5,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', ""Children's play area"", 'Security', 'Shopping center', 'Gas pipeline', 'Visitor parking']",Channasandra
₹ 1 Crore,"1,600",3 Bedroom,3 Bathroom,,Sree Keerthi Elite,Newly Constructed,Self Owned,Newly Constructed,,Semi,South,2/4,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', ""Children's play area"", 'Fire safety', 'Security']",Channasandra
₹ 48 Lacs,935,2 Bedroom,2 Bathroom,1.0,Sabari Elite,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,East,1/4,Bike and Car,No,,Channasandra
₹ 50 Lacs,"1,010",2 Bedroom,2 Bathroom,,Lakshya Homes,3-5 years,Self Owned,3-5 years,,Semi,East,0/5,Bike,Yes,"['Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Park', 'Visitor parking']",Channasandra
₹ 1.7 Crores,"1,536",3 Bedroom,3 Bathroom,2.0,"Marvel Sequoia, Whi...",1-3 years,Self Owned,1-3 years,Vitrified Tiles,Semi,North,5/10,Car,Yes,"['Intercom', 'Internet provider', 'Lift', 'Club house', 'Fire safety', 'Sewage treatment plant', 'Park', ""Children's play area"", 'Security', 'Swimming pool', 'Gym', 'Visitor parking']",Channasandra
₹ 1.3 Crores,"1,287",2 Bedroom,2 Bathroom,2.0,Marvel Sequoia Apar...,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Fully furnished,North,6/10,Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Channasandra
₹ 80 Lacs,"1,430",3 Bedroom,3 Bathroom,2.0,Lakshya Homes,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,West,1/4,Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Park', 'Visitor parking']",Channasandra
₹ 3 Crores,"9,180",4 Bedroom,11 Bathroom,,Gms Elevators,Newly Constructed,Self Owned,Newly Constructed,,Semi,East,0/5,Bike and Car,No,['Lift'],Channasandra
₹ 1.5 Crores,"1,413",3 Bedroom,2 Bathroom,2.0,Marvel Sequoia Apar...,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Fully furnished,East,10/10,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Channasandra
₹ 65 Lacs,"1,050",2 Bedroom,2 Bathroom,,Mvs Paradise,1-3 years,Self Owned,1-3 years,,Fully furnished,North,2/3,Bike and Car,Yes,"['Gym', 'Security']",Channasandra
₹ 72 Lacs,"1,225",2 Bedroom,2 Bathroom,3.0,Green Earth Atrium,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Semi,North,3/3,Bike and Car,Yes,"['Security', 'Gym']",Channasandra
₹ 90 Lacs,"1,130",2 Bedroom,2 Bathroom,2.0,Balaji Eternal Bliss,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Fully furnished,West,1/4,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Channasandra
₹ 85 Lacs,"1,227",2 Bedroom,2 Bathroom,2.0,Isha Infra Misty Gr...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,West,1/4,Bike and Car,Yes,"['Internet provider', 'Lift', 'Club house', 'Gas pipeline', 'Fire safety', 'Sewage treatment plant', 'Park', 'Shopping center', ""Children's play area"", 'Security', 'Swimming pool', 'Gym', 'Visitor parking']",Channasandra
₹ 70 Lacs,"1,465",3 Bedroom,2 Bathroom,3.0,Ss Elina,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Fully furnished,East,4/5,Bike and Car,No,"['Intercom', ""Children's play area"", 'Park', 'Visitor parking']",Channasandra
₹ 2.8 Crores,"2,488",4 Bedroom,4 Bathroom,3.0,Prestige Elm Park,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,East,0/3,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Visitor parking']",Channasandra
₹ 85 Lacs,"1,195",2 Bedroom,2 Bathroom,2.0,Isha Misty Greens P...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,West,2/4,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Park', 'Visitor parking']",Channasandra
₹ 52 Lacs,"1,010",2 Bedroom,2 Bathroom,1.0,Lakshya Homes,3-5 years,Self Owned,3-5 years,,Semi,North,0/5,Bike,Yes,['Security'],Channasandra
₹ 2.05 Crores,"1,850",3 Bedroom,3 Bathroom,3.0,Dsr Sunrise Towers,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,9/14,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Channasandra
₹ 82 Lacs,"1,353",2 Bedroom,2 Bathroom,3.0,Gudwil Grace Jubila...,Newly Constructed,Self Owned,Newly Constructed,Vitrified Tiles,Unfurnished,South,4/5,Bike and Car,Yes,"['Lift', 'Gym', 'Swimming pool', 'Security', 'Visitor parking']",Cooke Town
₹ 82 Lacs,"1,121",2 Bedroom,2 Bathroom,2.0,Scala Entice,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,1/4,1/4,Bike and Car,Yes,"['Lift', 'Security']",Cooke Town
₹ 72 Lacs,"1,000",2 Bedroom,2 Bathroom,1.0,Jb Pride Apartments,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,North,0/4,Bike and Car,Yes,"['Lift', 'Fire safety', 'Security', 'Gas pipeline']",Cooke Town
₹ 62 Lacs,"1,150",2 Bedroom,2 Bathroom,,Standalone Building,Newly Constructed,Self Owned,Newly Constructed,,Semi,West,1/3,Bike,No,,Cooke Town
₹ 62 Lacs,700,2 Bedroom,2 Bathroom,,Sandalone Building,Newly Constructed,Self Owned,Newly Constructed,,Semi,West,0/2,Bike and Car,No,,Cooke Town
₹ 75 Lacs,"1,073",2 Bedroom,2 Bathroom,2.0,Pvr Towers,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,North-West,2/3,Bike and Car,Yes,"['Lift', 'Fire safety', 'Security', 'Visitor parking']",Cooke Town
₹ 90 Lacs,"2,900",4 Bedroom,7 Bathroom,1.0,Standaone Building,>10 years,Self Owned,>10 years,Marble/Granite,Semi,East,0/3,Bike and Car,Yes,"['Club house', 'Swimming pool', ""Children's play area"", 'Security', 'Park', 'Sewage treatment plant']",Cooke Town
₹ 2.1 Crores,"1,789",3 Bedroom,4 Bathroom,,Vo Grand,3-5 years,Self Owned,3-5 years,,Semi,1/5,1/5,Bike and Car,Yes,['Gym'],Cooke Town
₹ 79 Lacs,"1,197",2 Bedroom,2 Bathroom,2.0,Nandeep Apartments,>10 years,Self Owned,>10 years,Mosaic,Semi,Don't Know,1/4,Bike and Car,Yes,"['Lift', 'Internet provider', 'Security']",Cooke Town
₹ 72 Lacs,"1,157",2 Bedroom,2 Bathroom,2.0,Space Habitat,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,3/4,Car,Yes,"['Lift', 'Internet provider', 'Security']",Cooke Town
₹ 2 Crores,"1,619",3 Bedroom,4 Bathroom,2.0,Inclover Rio Grande,3-5 years,Self Owned,3-5 years,Marble/Granite,Fully furnished,South,3/5,Bike and Car,Yes,"['Lift', 'Security']",Cooke Town
₹ 30 Lacs,512,2 Bedroom,2 Bathroom,1.0,Rk Comfort Apartmen...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,West,4/5,Bike,Yes,"['Visitor parking', 'Lift', 'Security']",Cooke Town
₹ 32 Lacs,600,2 Bedroom,2 Bathroom,,R.k Comfort Apartme...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Fully furnished,West,3/5,Bike and Car,Yes,['Security'],Cooke Town
₹ 22 Lacs,600,2 Bedroom,1 Bathroom,1.0,Rk Comfort,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Unfurnished,East,5/5,Bike,Yes,"['Lift', 'Security']",Cooke Town
₹ 32 Lacs,600,2 Bedroom,2 Bathroom,1.0,Rk Comfort,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Fully furnished,North,3/5,Bike,Yes,"['Lift', 'Security']",Cooke Town
₹ 1.75 Crores,425,1 Bedroom,1 Bathroom,1.0,Grape Garden Enclav...,>10 years,On Lease 25 years,>10 years,Mosaic,Unfurnished,West,9/9,Bike,Yes,"['Lift', 'Club house', 'Intercom', 'Swimming pool', 'Security', 'Park', 'Visitor parking']",Cooke Town
₹ 1.6 Crores,"2,000",4 Bedroom,6 Bathroom,,Standalone Building...,Newly Constructed,Self Owned,Newly Constructed,,Semi,East,0/3,Bike,No,,Cooke Town
₹ 79 Lacs,"1,112",2 Bedroom,2 Bathroom,2.0,Grace Star Apartment,>10 years,Self Owned,>10 years,Marble/Granite,Unfurnished,South,1/3,Bike and Car,No,"['Internet provider', 'Park']",Cooke Town
₹ 58 Lacs,965,2 Bedroom,2 Bathroom,,Rekhi Brooklyn Apar...,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,0/5,Bike,Yes,"['Lift', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Visitor parking']",Cooke Town
₹ 2.25 Crores,"1,600",2 Bedroom,2 Bathroom,2.0,"Regency Splendour, ...",>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,South,1/5,Bike and Car,No,"['Lift', 'Internet provider', 'Intercom', 'Visitor parking']",Cooke Town
₹ 60 Lacs,850,2 Bedroom,2 Bathroom,1.0,Prudential Ultra Ra...,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,West,3/4,Bike and Car,No,"['Lift', 'Intercom', 'Visitor parking']",Cooke Town
₹ 1.25 Crores,"1,550",3 Bedroom,2 Bathroom,3.0,Golden Gate,>10 years,Self Owned,>10 years,Mosaic,Fully furnished,North,1/3,Car,No,"['Lift', 'Fire safety', 'Sewage treatment plant', 'Park', 'Swimming pool']",Cooke Town
₹ 60 Lacs,885,2 Bedroom,18 Bathroom,,Prudential Ultra Ra...,3-5 years,Self Owned,3-5 years,,Semi,West,0/3,Bike and Car,No,"['Lift', 'Intercom', 'Visitor parking']",Cooke Town
₹ 75 Lacs,"1,000",2 Bedroom,2 Bathroom,2.0,Davis Habitat,>10 years,Self Owned,>10 years,,Semi,1/3,1/3,Bike and Car,Yes,"['Gas pipeline', 'Visitor parking', 'Security']",Cooke Town
₹ 60 Lacs,885,2 Bedroom,2 Bathroom,,Ulter Apartment,>10 years,Self Owned,>10 years,,Unfurnished,East,3/5,Bike and Car,Yes,,Cooke Town
₹ 71 Lacs,"1,070",2 Bedroom,2 Bathroom,2.0,Al-zassz,3-5 years,Self Owned,3-5 years,Marble/Granite,Semi,East,2/4,Bike and Car,Yes,['Security'],Cooke Town
₹ 1.75 Crores,"1,800",3 Bedroom,3 Bathroom,3.0,Harmony Woods Apart...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,1/4,Bike and Car,Yes,['Security'],Cooke Town
₹ 96 Lacs,"1,050",2 Bedroom,2 Bathroom,4.0,Cameloe Apartments,>10 years,Self Owned,>10 years,Mosaic,Semi,South-East,3/3,Bike and Car,Yes,['Security'],Cooke Town
₹ 2.75 Crores,"2,600",3 Bedroom,3 Bathroom,3.0,Eshaan Appartments,>10 years,Self Owned,>10 years,Marble/Granite,Semi,West,1/4,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Fire safety', 'Security']",Cooke Town
₹ 80 Lacs,932,2 Bedroom,2 Bathroom,1.0,Sierra Villa,>10 years,Self Owned,>10 years,Marble/Granite,Semi,East,0/4,Bike and Car,Yes,"['Lift', 'Internet provider', ""Children's play area"", 'Security', 'Shopping center', 'Park', 'Visitor parking']",Cooke Town
₹ 1.5 Crores,"1,030",2 Bedroom,2 Bathroom,2.0,Carleston Nest,>10 years,Self Owned,>10 years,Marble/Granite,Semi,North,1/3,Bike and Car,Yes,"['Lift', 'Internet provider', ""Children's play area"", 'Security', 'Shopping center', 'Park']",Cooke Town
₹ 1.35 Crores,"1,350",2 Bedroom,2 Bathroom,3.0,M3 Manor Apartments,>10 years,Self Owned,>10 years,,Semi,South,1/2,Bike and Car,Yes,['Security'],Cooke Town
₹ 2.9 Crores,"2,002",3 Bedroom,4 Bathroom,1.0,Inclover Adobe,3-5 years,Self Owned,3-5 years,Marble/Granite,Semi,East,1/1,Car,Yes,"['Lift', 'Gas pipeline', 'Sewage treatment plant', ""Children's play area"", 'Security', 'Visitor parking']",Cooke Town
₹ 1.3 Crores,"1,440",3 Bedroom,3 Bathroom,2.0,Loyality Mansion,1-3 years,Self Owned,1-3 years,,Semi,South-East,3/5,Car,Yes,"['Lift', 'Fire safety', 'Security']",Cooke Town
₹ 1.1 Crores,"1,300",2 Bedroom,2 Bathroom,1.0,Sorrento Apartments...,>10 years,Self Owned,>10 years,Mosaic,Semi,South,0/3,Car,Yes,"[""Children's play area"", 'Security']",Cooke Town
₹ 3.85 Crores,"3,600",4 Bedroom,4 Bathroom,5.0,Emerald Crown,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,3/4,Car,Yes,"['Lift', 'Internet provider', 'Intercom', 'Fire safety', 'Security', 'Park', 'Visitor parking']",Cooke Town
₹ 1.4 Crores,"1,250",2 Bedroom,2 Bathroom,2.0,Tulip Residency,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,North,3/3,Car,Yes,"['Lift', ""Children's play area"", 'Security', 'Gas pipeline', 'Park', 'Visitor parking']",Cooke Town
₹ 1.25 Crores,"2,200",3 Bedroom,4 Bathroom,2.0,Keystone Manor Apar...,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,3/4,Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Security', 'Park', 'Visitor parking']",Cooke Town
₹ 1.15 Crores,"1,200",3 Bedroom,2 Bathroom,,Enclave,>10 years,Self Owned,>10 years,Vitrified Tiles,Fully furnished,2/3,2/3,Bike and Car,Yes,"[""Children's play area"", 'Security']",Cooke Town
₹ 75 Lacs,990,2 Bedroom,2 Bathroom,,Loyality Mansion,Newly Constructed,Self Owned,Newly Constructed,,Semi,North,3/5,Car,Yes,"['Lift', 'Security']",Cooke Town
₹ 3.95 Crores,"4,220",4 Bedroom,5 Bathroom,4.0,Paragon Residency,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,3/4,Bike and Car,No,"['Lift', 'Club house', 'Intercom', ""Children's play area"", 'Fire safety', 'Visitor parking']",Cooke Town
₹ 70 Lacs,"1,100",2 Bedroom,2 Bathroom,1.0,Hutchins Corner,>10 years,Self Owned,>10 years,,Semi,East,0/3,Bike and Car,Yes,"['Lift', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant']",Cooke Town
₹ 3.3 Crores,"2,200",3 Bedroom,3 Bathroom,,Prestige Melbrook,5-10 years,Self Owned,5-10 years,,Semi,1/5,1/5,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Visitor parking']",Cooke Town
₹ 2.6 Crores,"2,300",4 Bedroom,4 Bathroom,1.0,Inclover Abode,3-5 years,Self Owned,3-5 years,Marble/Granite,Semi,East,2/4,Bike and Car,Yes,"['Lift', 'Intercom', 'Fire safety', 'Security', 'Shopping center', 'Park', 'Sewage treatment plant', 'Visitor parking']",Cooke Town
₹ 3 Crores,"1,950",3 Bedroom,3 Bathroom,2.0,Slantree Apartments...,>10 years,Self Owned,>10 years,Mosaic,Semi,East,3/3,Car,Yes,"['Lift', 'Intercom', 'Security']",Cooke Town
₹ 77 Lacs,"1,052",2 Bedroom,2 Bathroom,,Legacy Davis,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,North-East,0/4,Bike and Car,Yes,"['Lift', 'Security']",Cooke Town
₹ 84 Lacs,"1,270",2 Bedroom,2 Bathroom,,,5-10 years,Self Owned,5-10 years,,Fully furnished,East,7/10,Car,Yes,"['Gym', 'Security']",Corporation
₹ 45 Lacs,750,2 Bedroom,2 Bathroom,,,>10 years,Self Owned,>10 years,,Semi,East,1/2,Bike,No,,Corporation
₹ 22 Lacs,520,1 Bedroom,1 Bathroom,,Uk Namma Mane Kenge...,3-5 years,Self Owned,3-5 years,,Unfurnished,East,4/4,Bike,Yes,['Security'],Corporation
₹ 22 Lacs,600,1 Bedroom,1 Bathroom,,Standlone Building,1-3 years,Self Owned,1-3 years,,Semi,West,1/5,Bike and Car,Yes,,Corporation
₹ 85 Lacs,"1,020",2 Bedroom,2 Bathroom,,Ronak Apartment,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,North,2/4,Bike and Car,Yes,"['Lift', ""Children's play area""]",Corporation
₹ 42 Lacs,"1,050",2 Bedroom,2 Bathroom,1.0,Eminence Prathama,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,North,1/2,Bike and Car,No,"['Lift', ""Children's play area"", 'Visitor parking']",Corporation
₹ 45 Lacs,"1,047",2 Bedroom,2 Bathroom,2.0,Om Residency,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,North-East,4/4,Bike and Car,No,"['Lift', 'Shopping center']",Corporation
₹ 14.5 Lacs,400,1 Bedroom,1 Bathroom,,Laxmi Kamal Nagari ...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Unfurnished,West,0/4,No,No,['Sewage treatment plant'],Corporation
₹ 57 Lacs,670,2 Bedroom,2 Bathroom,1.0,Green City Pune,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Semi,1/11,1/11,Bike and Car,No,"['Lift', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Corporation
₹ 15 Lacs,500,1 Bedroom,1 Bathroom,1.0,Khb Mig,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,North,2/3,Bike and Car,No,,Corporation
₹ 42 Lacs,940,2 Bedroom,2 Bathroom,1.0,"Purba Abasan, Madur...",3-5 years,Self Owned,3-5 years,Marble/Granite,Unfurnished,North,3/3,Car,Yes,"['Lift', 'Club house', 'Security', 'Park']",Corporation
₹ 42 Lacs,975,2 Bedroom,2 Bathroom,1.0,Shukan-5,3-5 years,Self Owned,3-5 years,Marble/Granite,Fully furnished,North,4/5,Bike and Car,No,"['Lift', 'Sewage treatment plant', 'Security', 'Visitor parking']",Corporation
₹ 1 Crore,"1,100",2 Bedroom,2 Bathroom,,Comfort Shanti Apar...,>10 years,Self Owned,>10 years,,Fully furnished,North,3/4,Bike,Yes,['Security'],Corporation
₹ 1.1 Crores,"1,100",2 Bedroom,2 Bathroom,,Comfort Shanti,5-10 years,Self Owned,5-10 years,,Fully furnished,East,0/4,Bike and Car,Yes,['Security'],Corporation
₹ 51 Lacs,760,2 Bedroom,2 Bathroom,1.0,Karthik Shubhdeep,>10 years,Self Owned,>10 years,Marble/Granite,Semi,East,4/6,Bike,No,,Corporation
₹ 1.12 Crores,"1,854",3 Bedroom,3 Bathroom,4.0,Jcsvpride,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Semi,North,1/4,Car,Yes,"['Gym', 'Club house', 'Intercom', 'Swimming pool', 'Security']",Corporation
₹ 1.35 Crores,"1,674",3 Bedroom,3 Bathroom,2.0,Karthik Subdeep Apa...,>10 years,Self Owned,>10 years,Marble/Granite,Fully furnished,West,3/4,Bike,No,['Lift'],Corporation
₹ 1.8 Crores,"3,600",4 Bedroom,10 Bathroom,,Standalone Building,Newly Constructed,Self Owned,Newly Constructed,,Unfurnished,North-East,0/4,No,No,,Corporation
₹ 80 Lacs,480,1 Bedroom,1 Bathroom,,Surendra Bhawan,1-3 years,Self Owned,1-3 years,,Fully furnished,West,6/7,Bike,Yes,"['Lift', 'Security']",Corporation
₹ 6 Crores,"1,800",4 Bedroom,4 Bathroom,1.0,Standalone Building,5-10 years,Self Owned,5-10 years,,Semi,West,0/2,Bike,No,,Corporation
₹ 8.52 Crores,"2,241",4 Bedroom,4 Bathroom,3.0,Purva Orient Grand,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,East,5/24,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Corporation
₹ 6 Crores,"1,713",3 Bedroom,3 Bathroom,2.0,Purva Orient Grand,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,East,5/24,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Corporation
₹ 1.17 Crores,"1,400",3 Bedroom,3 Bathroom,,Apartment,>10 years,Self Owned,>10 years,,Fully furnished,East,4/5,No,No,,Corporation
₹ 1.25 Crores,"1,400",3 Bedroom,3 Bathroom,1.0,Aildas Kutir,>10 years,Self Owned,>10 years,Marble/Granite,Semi,East,4/4,Car,Yes,['Security'],Corporation
₹ 40 Lacs,500,2 Bedroom,1 Bathroom,,Standalone Building,Under Construction,Self Owned,Under Construction,,Semi,North,1/3,No,No,,Corporation
₹ 95 Lacs,"1,645",3 Bedroom,3 Bathroom,1.0,Sai Meghana Orchid,>10 years,Self Owned,>10 years,,Fully furnished,North-East,3/4,Bike and Car,Yes,"['Lift', 'Security']",Cox Town
₹ 2.4 Crores,"2,615",4 Bedroom,4 Bathroom,3.0,"Samhita Oaks, Benso...",5-10 years,Self Owned,5-10 years,Marble/Granite,Semi,West,1/4,Bike and Car,Yes,"['Lift', 'Fire safety', 'Security', 'Visitor parking']",Cox Town
₹ 62 Lacs,"1,010",2 Bedroom,2 Bathroom,1.0,Scindia Prime Class...,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,3/3,Bike and Car,No,"['Lift', 'Sewage treatment plant', 'Visitor parking']",Cox Town
₹ 1.3 Crores,"1,700",4 Bedroom,3 Bathroom,,M Z Heritage,5-10 years,Self Owned,5-10 years,,Semi,West,5/6,Bike and Car,No,,Cox Town
₹ 9 Crores,"4,995",4 Bedroom,5 Bathroom,,Rmz Woodsvale,>10 years,Self Owned,>10 years,,Semi,North-East,0/4,Bike and Car,Yes,"['Gym', 'Security']",Cox Town
₹ 2 Crores,"2,650",3 Bedroom,3 Bathroom,1.0,Petals,>10 years,Self Owned,>10 years,Marble/Granite,Semi,North,3/3,Car,Yes,"['Lift', 'Security']",Cox Town
₹ 7.2 Crores,"4,292",4 Bedroom,5 Bathroom,,Brigade Crescent,>10 years,Self Owned,>10 years,,Semi,North,1/10,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', 'Park', 'Visitor parking']",Cox Town
₹ 1.5 Crores,"2,000",4 Bedroom,4 Bathroom,2.0,Independent House,5-10 years,Self Owned,5-10 years,,Fully furnished,3/3,3/3,Bike and Car,No,"['Lift', 'Visitor parking']",Cox Town
₹ 80 Lacs,"1,200",2 Bedroom,2 Bathroom,3.0,Rr Tawakkal Apartme...,>10 years,Self Owned,>10 years,Marble/Granite,Semi,West,2/3,Bike and Car,Yes,['Security'],Cox Town
₹ 85 Lacs,"1,300",3 Bedroom,2 Bathroom,1.0,Rr Tawakkal Apartme...,>10 years,Self Owned,>10 years,Marble/Granite,Semi,East,2/3,Bike and Car,Yes,['Security'],Cox Town
₹ 2 Crores,"2,400",4 Bedroom,3 Bathroom,2.0,Rr Tawakkal Apartme...,>10 years,Self Owned,>10 years,Marble/Granite,Fully furnished,West,3/3,Bike and Car,Yes,['Security'],Cox Town
₹ 85 Lacs,"1,175",2 Bedroom,2 Bathroom,1.0,"Petals, Benson Town",>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,North-East,1/3,Car,Yes,"['Lift', 'Security']",Cox Town
₹ 50 Lacs,930,2 Bedroom,2 Bathroom,2.0,Scindia Prime Class...,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,3/3,Bike and Car,Yes,"['Lift', 'Internet provider', 'Security', 'Sewage treatment plant', 'Visitor parking']",Cox Town
₹ 3 Crores,"2,615",4 Bedroom,4 Bathroom,3.0,Samitha Oaks,5-10 years,Self Owned,5-10 years,Marble/Granite,Semi,West,0/4,Bike and Car,Yes,"['Lift', 'Security']",Cox Town
₹ 99 Lacs,"1,280",3 Bedroom,3 Bathroom,5.0,Sb,Newly Constructed,Self Owned,Newly Constructed,Vitrified Tiles,Semi,North-East,1/4,Car,No,"['Internet provider', 'Lift', 'Visitor parking']",Cox Town
₹ 5 Crores,"3,500",3 Bedroom,4 Bathroom,2.0,Prestige Benson Cou...,>10 years,Self Owned,>10 years,Marble/Granite,Fully furnished,North-East,3/3,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Park', 'Sewage treatment plant', 'Visitor parking']",Cox Town
₹ 82 Lacs,"1,350",3 Bedroom,3 Bathroom,1.0,Khan,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Semi,South,1/3,Car,No,"['Lift', 'Club house', ""Children's play area"", 'Visitor parking']",Cox Town
₹ 1.1 Crores,"2,600",4 Bedroom,4 Bathroom,4.0,Standlone Building ...,>10 years,Self Owned,>10 years,,Semi,North,0/3,No,No,,Cox Town
₹ 90 Lacs,"1,175",2 Bedroom,2 Bathroom,1.0,Petals Apartment,>10 years,Self Owned,>10 years,,Semi,North-East,1/3,Car,Yes,"['Lift', 'Security', 'Visitor parking']",Cox Town
₹ 4.5 Crores,"3,000",3 Bedroom,5 Bathroom,,Prestige Benson Cou...,>10 years,Self Owned,>10 years,,Semi,East,2/3,Bike and Car,Yes,"['Gym', 'Security']",Cox Town
₹ 62 Lacs,900,2 Bedroom,2 Bathroom,,Sunrise Apartments,5-10 years,Self Owned,5-10 years,,Unfurnished,East,0/3,Bike and Car,Yes,['Security'],Cox Town
₹ 85 Lacs,"1,200",3 Bedroom,2 Bathroom,,Ar Mark Apartment,>10 years,Self Owned,>10 years,,Semi,1/5,1/5,Bike and Car,Yes,['Security'],Cox Town
₹ 46 Lacs,750,2 Bedroom,2 Bathroom,2.0,A M Venuza,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Semi,Don't Know,3/5,Bike,Yes,"['Lift', 'Club house', 'Security', 'Visitor parking']",Cox Town
