web-scraper-order,web-scraper-start-url,link01,link01-href,price,sqft,bedroom,bathroom,balcony,apartment,age,ownership,maintenance,flooring,furnishing,facing,floor,parking,gated_security,description,bus_station,amenities,address,locality,bus_count
1705043961-29,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,2 BHK Apartment In Prabhavathi Classic For Sale  In Ejipura,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/ff8081816ead102c016eae210c8417fe/detail,₹ 65 Lacs,"1,020",2 Bedroom,2 Bathroom,1.0,Prabhavathi Classic,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,North,1/5,Car,Yes,"''It's a Naturally Well-Lit home and semi furnished flat open kitchen shelves with excellent cross ventilation. Water is available 24/7 . Located in a friendly neighbourhood It has easy access to markets, schools, hospitals, banks and ATM's as well .Price is negotiable.``
This lovely 2bhk for sale is only 65 Lakhs rupees without any extra brokerage & could be your new home. This North facing home is on the 1st floor. This home is over 1020 sqft. & even comes with ample parking place for car.

When you need play area for kids, all you have to do is step out of the door as the apartment complex has what you're looking for. If you are looking for a home with security, this home is just right for you. You are viewing the right home if you would prefer a house with servant room & rainwater harvesting.

With Apollo Spectra Hospitals and Greenview Medical Center in close proximity, you can be sure of receiving great medical attention 24/7. Christ School - ICSE, Lawrence High School ICSE and National Public School are well known educational institutes in town & are very close to this home.

With Inox, PVR Cinemas & Srinivasa Theatre close by, you can catch your favourite movies running & never worry about missing a show because of traffic. Never miss out on lifestyle as 1 MG - Lido Mall, Tibet Mall and Eva Mall are so close by.

For those always on the move the bus station as well as petrol pump are conveniently located close to this home. This home has easy access to ATM, super market & more local amenities because of its convenient location.",Bus StationsEjipura0.5 km | 6 minsKSRTC Ticket Booking1.2 km | 15 minsKSRTC Ticket Booking Centre1.9 km | 24 minsJyothi Nivas College2.3 km | 29 minsKoramangala Water Tank2.2 km | 28 mins,"[""Children's play area"", 'Security']","Sri Ram Temple Rd, Ejipura, Bengaluru, Karnataka 560095, India",Ejipura,5.0
1705043964-30,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,2 BHK Flat In Kdm Square Apartments For Sale  In Ejipura,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/8a9f90827979232f0179798d134d2ba2/detail,₹ 85 Lacs,"1,100",2 Bedroom,3 Bathroom,,Kdm Square Apartmen...,5-10 years,Self Owned,5-10 years,,Fully furnished,East,1/5,Bike and Car,Yes,"This 2 BHK for sale comes with an affordable price tag of just 85 Lakhs rupees with an additional perk of paying no brokerage. Situated on the 1st floor this home can comfortably serve your space for parking of car and bike needs. This East facing home is over 1100 sqft. & is in a convenient location.

If you are looking for a home with security, this home is just right for you.

You'll never be stranded as ATM, bus stop, petrol pump are close to this home & provide great service. For those with a busy lifestyle, super market & pharmacies are close by & getting your groceries or medication is very easy.

If you are looking for gifts, or just want to spoil yourself, Garuda Mall, Tibet Mall and The Forum have a wide variety of things that you can choose from. If you love movies, PVR Cinemas & Lakshmi Theatre are just a few minutes away.

National Public School, Bethany High School and Greenwood High Pre School Activity Centre are well known educational institutes in town & are very close to this home. Devi Eye Hospital and S D S Tb Sanitorium are close by and are known for providing exceptional medical care.",Bus StationsSony World Bus Stop0.3 km | 4 minsSony World Bus Stop0.5 km | 6 minsBMTC Bus Stop0.5 km | 6 minsKoramangala Junction Bus Stop0.5 km | 7 minsKoramangala Bus Depot0.6 km | 7 mins,['Security'],"3rd Cross Road, Chandra Reddy Layout, Ashwini Layout, Ejipura, Bengaluru, Karnataka 560047",Ejipura,5.0
1705043966-31,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,2 BHK Flat In Navya Delight For Sale  In Navya Delight Apartment,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-navya-delight-apartment-bangalore/8a9ff6838a9177a3018a91a94b590bf0/detail,₹ 60 Lacs,"1,005",2 Bedroom,2 Bathroom,2.0,Navya Delight,>10 years,Self Owned,>10 years,,Semi,1/4,1/4,Car,Yes,"This lovely two bedroom for sale is only 60 Lakhs rupees without any extra brokerage & could be your new home. This home is over 1005 sqft. & even comes with ample car parking facility.

With premium amenities such as rainwater harvesting, fire fighting equipment & waste treatment plant this home provides you with many added benefits. If you need amenities such as intercom, security & lift you'll be happy to note that this home has this & more.",Bus StationsEjipura Bus Stop0.6 km | 8 minsSrinivagilu Bus Stand0.6 km | 7 minsBMTC Bus Stop0.6 km | 8 minsKoramangala Junction Bus Stop0.7 km | 9 minsSony World Bus Stop0.7 km | 9 mins,"['Intercom', 'Lift', 'Fire safety', 'Sewage treatment plant', 'Security']","Ram Temple Road, VGS Layout, AVS Layout, Ejipura, Bengaluru, Karnataka 560047, India",Ejipura,5.0
1705043969-32,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,3 BHK Apartment In Stag Aditya Apartments Koramangala For Sale  In Ejipura,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-ejipura-bangalore/8a9f93e57453c028017455092974146d/detail,₹ 2.1 Crores,"1,500",3 Bedroom,3 Bathroom,5.0,Stag Aditya Apartme...,>10 years,Self Owned,>10 years,,Semi,East,3/3,Car,Yes,"We are the proud owners of this 3 bhk apartment available in  This is a semi-furnished apartment, priced approximately at Rs. 14000 per sq. ft. or Rs. 2 Crore 10 Lakhs. It is a ready to move in apartment. The unit is located on the 3rd floor and has a super built-up area of 1500 sq. ft. It has 3 bathroom(s) and all the rooms have an attached balcony. The king size room has a dressing room attached. It is in a Prime Location which is Near Sony Signal Koramangala. (Opposite Oasis Mall)
A three bedroom in Ejipura for sale is now available, it is one of a few houses at this rate. This East facing home is on the 3rd floor. This home is over 1500 sqft. & even comes with ample space for parking of car.

The surrounding locality is loaded with things to do, Inox & PVR Koramangala are great places to catch a movie near this home. 1 MG Lido Mall and Tibet Mall  are close by & have plenty of stores with everything that you wish to buy.

As there are bus station, super market & other local amenities close by, you'll find everything you need near home. Since there is an ATM & petrol pump close to this home you will have easy access to money & fuel at any time.

As this home is near Apollo Spectra Hospitals emergency medical assistance as always available.",Bus StationsBMTC Bus Stop0.5 km | 6 minsKoramangala Junction Bus Stop0.5 km | 7 minsSony World Bus Stop0.5 km | 7 mins,"['Lift', 'Fire safety', 'Shopping center', 'Security']","26, Ashwini Layout, Ejipura, Bengaluru, Karnataka 560047, India",Ejipura,3.0
1705043971-33,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,4+ BHK Flat For Sale  In Ejipura,https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-ejipura-bangalore/8a9f0c838a73dafe018a74234c6e3b4e/detail,₹ 65 Lacs,"1,680",4 Bedroom,4 Bathroom,,Standalone Building,>10 years,Self Owned,>10 years,,Unfurnished,East,0/3,No,No,1- BHK 								This four bedroom for sale comes with an affordable price tag of just 65 Lakhs rupees with an additional perk of paying no brokerage. This East facing home is over 1680 sqft. & is in a convenient location.,Bus StationsKoramangala TTMC0.5 km | 7 minsJn Of 80 And 100 Feet Road0.5 km | 6 minsSony World 80ft Road Koramangala0.6 km | 7 minsSchool Ejipura0.6 km | 7 minsMaharaja Signal1.1 km | 14 mins,,"Standalone building,  Sri Rama Temple Rd Ejipura Main Rd near Sri Rama Temple",Ejipura,5.0
1705043974-34,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,4+ BHK Flat For Sale  In Ejipura,https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-ejipura-bangalore/8a9ff98e8ae90e53018ae95951aa1492/detail,₹ 2.35 Crores,"4,800",4 Bedroom,9 Bathroom,,Standalone Building,5-10 years,Self Owned,5-10 years,,Semi,East,0/4,Bike,No,"ground floor parkin,1st floor 1 unit of 2 bhk , 2nd floor 2 units of  1bhk 3nd 2 units of 1 bhk and 3rd terrace and 2 bhk
An affordable 4+ BHK for sale in Ejipura is now available, without any brokerage. This East facing home is over 4800 sqft. & is in a convenient location. You get ample & dedicated bike parking facility with this home.",Bus StationsKSRTC Pick up point KMF BMTC Bus Stop5.0 km | 18 minsKrupanidhi College4.6 km | 16 minsShanthi Nagar Bus Stop5.6 km | 16 minsSilk Board5.3 km | 18 minsom tours &travels5.1 km | 17 mins,,"Standalone Building, R A Rd, 4th Cross Rd, Vivek Nagar Near Shine Bakery & Condiments",Ejipura,5.0
1705043976-35,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,2 BHK Flat In Navya Delight For Sale  In Ejipura,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/8a9fb08282771dfa01827740765c19ff/detail,₹ 63 Lacs,"1,005",2 Bedroom,2 Bathroom,2.0,Navya Delight,>10 years,Self Owned,>10 years,,Semi,1/4,1/4,Car,No,"A double bedroom in Ejipura for sale is now available, it is one of a few houses at this rate. Situated on the 1st floor this home can comfortably serve your parking lot for a car needs.

You are viewing the right home if you would prefer a house with servant quarters.

With Mariya Montessori School, KLAY Prep Schools and DayCare and KLAY Prep Schools and DayCare close to this home, you'll be able to provide your children with many options to choose from. Being situated near Apollo Spectra Hospitals, Dr Agarwal Hospitals, Shanti Nagar and Greenview Medical Center - Multi Speciality Hospital Bangalore, emergency care is very easily available at any time.

The ATM & bus station are close by, you will find having money in hand & access to public transport very easy. With a petrol pump & super market your daily needs are easily fulfilled

As Inox, PVR Koramangala & Srinivasa Theatre are in close proximity to this house, you can catch the latest movies at any time. Never miss out on lifestyle as 1 MG-Lido Mall, Tibet Mall and Gangarams book bureau are so close by.",Bus StationsEjipura Bus Stop0.6 km | 8 minsSrinivagilu Bus Stand0.6 km | 7 minsBMTC Bus Stop0.6 km | 8 minsKoramangala Junction Bus Stop0.7 km | 9 minsSony World Bus Stop0.7 km | 9 mins,,"Ram Temple Road, VGS Layout, AVS Layout, Ejipura, Bengaluru, Karnataka 560047, India",Ejipura,5.0
1705043979-36,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,2 BHK Flat In Kdm Square Apartments For Sale  In Ejipura,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/8a9fc58281c761070181c80107d36e1c/detail,₹ 85 Lacs,"1,100",2 Bedroom,3 Bathroom,2.0,Kdm Square Apartmen...,5-10 years,Self Owned,5-10 years,,Fully furnished,East,2/5,Bike and Car,Yes,"This double bedroom for sale comes with an affordable price tag of just 85 Lakhs rupees with an additional perk of paying no brokerage. Situated on the 2nd floor this home can comfortably serve your dedicated parking area for car and bike needs. This East facing home is over 1100 sqft. & is in a convenient location.

If you need amenities such as security you'll be happy to note that this home has this & more.",Bus StationsSony World Bus Stop0.3 km | 4 minsSony World Bus Stop0.5 km | 6 minsBMTC Bus Stop0.5 km | 6 minsKoramangala Junction Bus Stop0.5 km | 7 minsKoramangala Bus Depot0.6 km | 7 mins,"['Lift', 'Security']","3rd Cross Rd, Chandra Reddy Layout, Ashwini Layout",Ejipura,5.0
1705043981-37,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,3 BHK Flat In Shringar Homes For Sale  In Ejipura,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-ejipura-bangalore/8a9fb1827aec08de017aec4ccf032b04/detail,₹ 1.5 Crores,"1,300",3 Bedroom,2 Bathroom,,Shringar Homes,>10 years,Self Owned,>10 years,Marble/Granite,Semi,West,0/5,Bike and Car,No,"Get a three bedroom in Ejipura for sale at a very reasonable price, and without brokerage. This West facing home is over 1300 sqft. & is in a convenient location. You get ample & dedicated car and bike parking with this home.

With Hosmat Hospital and Apollo Spectra Hospitals in close proximity, you can be sure of receiving great medical attention 24/7.",Bus StationsEjipuraNGV KoramangalaBMTC Bus Stop,,"kaveri colony, Near sonyworld signal.",Ejipura,0.0
1705043984-38,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,2 BHK Flat In R K Greens For Sale  In Ejipura,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/ff8081816035b3190160370796773516/detail,₹ 82 Lacs,"1,350",2 Bedroom,2 Bathroom,1.0,R K Greens,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,North,2/4,Bike and Car,Yes,"****** *** call **** *** **********
*** this **** for sale is in second floor and the building consists of **** 8 ****s where each floor consists of 2 ****s.
(2) carpet area 1275 sqft.
(3) furnished kitchen and room and separate dinning area with 2bhk.
*** new building which is just completed 6 years.
(5) **** is fetching rental income of 35000/- Per month.",Bus Stations22nd Cross Ejipura0.3 km | 4 minsJn Of 80 And 100 Feet Road0.5 km | 6 minsSrinivagilu0.6 km | 7 minsBMTC Depot-15 Koramangala0.9 km | 11 minsKSRTC Ticket Booking1.3 km | 16 mins,"['Lift', 'Internet provider', 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant']",Venugopal street ejipura,Ejipura,5.0
1705043987-39,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,3 BHK Apartment In Team Royale For Sale  In Ejipura,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-ejipura-bangalore/8a9f9392744311940174432ead0b0f79/detail,₹ 1.8 Crores,"2,850",3 Bedroom,4 Bathroom,3.0,Team Royale,>10 years,Self Owned,>10 years,Vitrified Tiles,Fully furnished,North,0/3,Car,Yes,"3BHK Apartment with large rooms. Its a duplex apartment located in Ground and First Floor. The apartment is fully furnished with ACs, Cots, Mattresses, Sofa Sets, Dining Table, Washing Machine, Refrigerator etc. The property is located in the corner facing the main road and the side road and has ample light and breeze. Currently has a housing loan from LICHFL at 6.9% pa. Its a B Khata property
Finding a three bedroom for sale in Ejipura at this price is next to impossible, now you can buy it without paying brokerage too. This North facing home is over 2850 sqft. & is in a convenient location. You get ample & dedicated parking lot for a car with this home.

With premium amenities such as visitor parking & fire fighting equipment this home provides you with many added benefits. If you are looking for a home with security, elevator & Wi-Fi access, this home is just right for you.

As Inox, PVR Koramangla & Srinivasa Theatre are in close proximity to this house, you can catch the latest movies at any time. Never miss out on lifestyle as 1 MG Lido Mall, Tibet Mall and Gangarams book bureau are so close by.

Mariya Montessori School, KLAY Prep Schools and DayCare and Global Montessori Centre are well known educational institutes in town & are very close to this home. Being situated near Apollo Spectra Hospitals, Greenview Medical Center - Multi Speciality Hospital Bangalore and Akshatha Skin & Hair Care Centre, emergency care is very easily available at any time.

For those always on the move the bus stop as well as petrol pump are conveniently located close to this home. This home has easy access to ATM, super market & more local amenities because of its convenient location.",Bus StationsKoramangala Junction Bus Stop0.1 km | 1 minSony World Bus Stop0.1 km | 1 minBMTC Bus Stop65 m | 1 minSony World 80ft Road Koramangala89 m | 1 minDurgamba Koramangala Office0.4 km | 5 mins,"['Lift', 'Internet provider', 'Fire safety', 'Security', 'Visitor parking']","Ejipura, Bangalore",Ejipura,5.0
1705043990-40,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,3 BHK Flat In Kesari Nandan Apartment For Sale  In Ejipura,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-ejipura--bangalore/8a9f9f82881d948801881dfce6a83a25/detail,₹ 2 Crores,"2,800",3 Bedroom,3 Bathroom,,Kesari Nandan Apart...,3-5 years,Self Owned,3-5 years,Marble/Granite,Semi,North,4/5,Bike and Car,No,"Maintenance need to discuss with owner
A 3 BHK in Ejipura for sale is now available, it is one of a few houses at this rate. This North facing home is on the 4th floor. This home is over 2800 sqft. & even comes with ample car and bike parking facility.

Access to bus station & medical stores is very easy & convenient from this house.

If you are in need of any emergency services or medical assistance, you will be happy to note that Hosmat Hospital, Apollo Spectra Hospitals and BMTC Dispensary are very close by. National Public School, Eastern Fare Music Foundation and EuroKids Pre-School Koramangala - Tiny Tots are well known educational institutes in town & are very close to this home.

As Inox, PVR Koramangala & Srinivasa Theatre are in close proximity to this house, you can catch the latest movies at any time. If you are looking for gifts, or just want to spoil yourself, 1 MG-Lido Mall, Tibet Mall and Gangarams book bureau have a wide variety of things that you can choose from.",Bus StationsKSRTC Pick up point KMF BMTC Bus Stop3.9 km | 14 minsKrupanidhi College3.0 km | 10 minsSilk Board4.5 km | 14 minsShanthi Nagar Bus Stop7.2 km | 21 minsMadiwala4.4 km | 17 mins,,"Anubhava Nagar, bangalore, Karnataka, INDIA",Ejipura,5.0
1705043993-41,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,4+ BHK Flat In Standalone Building  For Sale  In Ejipura,https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-ejipura-bangalore/8a9fae838c67645f018c685169262387/detail,₹ 1.8 Crores,"2,040",4 Bedroom,12 Bathroom,,Standalone Building,5-10 years,Self Owned,5-10 years,,Unfurnished,East,0/5,No,No,"g 1 shop and 1bhk /1st floor 2bhk 1 unite /2nd and 3rd , 4th and 5th floor each floor 1 bhk 1 unite available
A 4+ BHK in Ejipura for sale is now available, it is one of a few houses at this rate. This East facing home is over 2040 sqft. & is in a convenient location.",Bus StationsSony World 80ft Road Koramangala0.9 km | 5 minsKrupanidhi College2.6 km | 11 minsSilk Board3.6 km | 15 minsMuneshwara Devasthana4.0 km | 17 minsASC Centre Bus Stop3.5 km | 13 mins,,28th Cross Rd near Mayur Gardens,Ejipura,5.0
1705043995-42,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,2 BHK Flat In Prabhavathi Classic For Sale  In Ejipura,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/8a9ffe828667d79801866845a218557b/detail,₹ 62 Lacs,"1,200",2 Bedroom,2 Bathroom,1.0,Prabhavathi Classic,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Fully furnished,Don't Know,5/5,Car,Yes,"This property is in the prime location ,near to NGV , call ********** , Sony World signal ,forum ....
A two bedroom in Ejipura for sale is now available, it is one of a few houses at this rate. Situated on the 5th floor this home can comfortably serve your parking space for car needs.

As this home comes with servant quarters, house keeping, sewage treatment plant & rainwater harvesting & more such amenities, living here would make life more pleasant. If you are looking for a home with security & elevator, this home is just right for you. When you need kids play area, all you have to do is step out of the door as the apartment complex has what you're looking for.

Never miss out on lifestyle as 1 MG - Lido Mall, Tibet Mall and Eva Mall are so close by. With Inox, PVR Cinemas & Srinivasa Theatre close by, you can catch your favourite movies running & never worry about missing a show because of traffic.

Christ School - ICSE, Lawrence High School ICSE and National Public School are well known educational institutes in town & are very close to this home. Apollo Spectra Hospitals and Greenview Medical Center are close by and are known for providing exceptional medical care.

For those always on the move the bus station as well as petrol pump are conveniently located close to this home. This home has easy access to ATM, super market & more local amenities because of its convenient location.",Bus StationsEjipura0.5 km | 6 minsKSRTC Ticket Booking1.2 km | 15 minsKSRTC Ticket Booking Centre1.9 km | 24 minsJyothi Nivas College2.3 km | 29 minsKoramangala Water Tank2.2 km | 28 mins,"['Lift', ""Children's play area"", 'Security', 'Shopping center', 'Sewage treatment plant']","Sri Ram Temple Rd, Ejipura, Bengaluru, Karnataka 560095, India",Ejipura,5.0
1705043997-43,https://www.nobroker.in/property/sale/bangalore/Ejipura/?searchParam=W3sibGF0IjoxMi45Mzg1MzMzLCJsb24iOjc3LjYzMDgxNzQsInBsYWNlSWQiOiJDaElKUzB5LWlrSVVyanNSRk4zZzZPNV9KZ3ciLCJwbGFjZU5hbWUiOiJFamlwdXJhIiwic2hvd01hcCI6ZmFsc2V9XQ==&propType=AP&isMetro=false&radius=2.0,3 BHK Flat In Sixcon Apartments For Sale  In Ejipura,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-ejipura-bangalore/ff8081816bb66832016bb7572b3c7ff4/detail,₹ 1.4 Crores,"1,650",3 Bedroom,2 Bathroom,,Sixcon Apartments,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,2/4,Bike and Car,Yes,"A 3 BHK in Ejipura for sale is now available, it is one of a few houses at this rate. This East facing home is over 1650 sqft. & is in a convenient location. Situated on the 2nd floor this home can comfortably serve your parking facility for car and bike needs.

With amenities such as security & elevator this home offers you a lot of convenience.

Never miss out on lifestyle as Tibet Mall, Gangarams and Just Shopping Pvt. Ltd. are so close by. As PVR Koramangala, Srinivasa Theatre & Lakshmi Theatre are in close proximity to this house, you can catch the latest movies at any time.

Access to bus stop & pharmacies is very easy & convenient from this house.

If you are in need of any emergency services or medical assistance, you will be happy to note that ESI Hospital, Cloudnine Hospital - Old Airport Road and AyurVAID Hospitals Domlur, Bangalore are very close by. National Public School, EuroKids Pre-School Koramangala - Tiny Tots and National Public School are well known educational institutes in town & are very close to this home.",Bus StationsSony World 80ft Road Koramangala0.9 km | 5 minsKrupanidhi College2.6 km | 11 minsSilk Board3.6 km | 15 minsMuneshwara Devasthana4.0 km | 17 minsASC Centre Bus Stop3.5 km | 13 mins,"['Lift', 'Security']","Sixcon Apartments, 41, Ejipura Main Rd, Ejipura, Bengaluru, Karnataka 560047, India",Ejipura,5.0
